Timestamp,Temperature,Humidity,Pressure,Rain Sensor,Light Sensor,Wind Speed,Wind Bearing
2025-02-11 09:42:42,17.18,73.45,1025.1,3329,1537,47.0,292.0
2025-02-11 09:42:44,17.19,73.45,1025.09,3344,1536,47.0,292.0
2025-02-11 09:42:46,17.2,73.44,1025.12,3345,1537,47.0,292.0
2025-02-11 09:42:48,17.2,73.43,1025.09,3328,1520,47.0,292.0
2025-02-11 09:42:50,17.2,73.42,1025.07,3329,1504,47.0,292.0
2025-02-11 09:42:52,17.2,73.42,1025.09,3344,1473,47.0,292.0
2025-02-11 09:42:54,17.2,73.42,1025.11,3344,1472,47.0,292.0
2025-02-11 09:42:56,17.21,73.42,1025.11,3328,1473,47.0,292.0
2025-02-11 09:42:58,17.21,73.42,1025.12,3344,1489,47.0,292.0
2025-02-11 09:43:00,17.21,73.42,1025.1,3328,1536,47.0,292.0
2025-02-11 09:43:02,17.21,73.42,1025.08,3345,1553,47.0,292.0
2025-02-11 09:43:04,17.21,73.42,1025.08,3344,1536,47.0,292.0
2025-02-11 09:43:06,17.22,73.43,1025.1,3344,1520,47.0,292.0
2025-02-11 09:43:08,17.22,73.43,1025.12,3344,1505,47.0,292.0
2025-02-11 09:43:10,17.23,73.43,1025.09,3328,1473,47.0,292.0
2025-02-11 09:43:12,17.23,73.43,1025.14,3344,1457,47.0,292.0
2025-02-11 09:43:14,17.23,73.41,1025.11,3328,1488,47.0,292.0
2025-02-11 09:43:16,17.23,73.39,1025.11,3344,1488,47.0,292.0
2025-02-11 09:43:18,17.23,73.37,1025.11,3345,1504,47.0,292.0
2025-02-11 09:43:20,17.23,73.36,1025.11,3345,1521,47.0,292.0
2025-02-11 09:43:22,17.24,73.35,1025.11,3344,1552,47.0,292.0
2025-02-11 09:43:24,17.21,73.28,1025.06,3344,1553,47.0,292.0
2025-02-11 09:43:26,17.22,73.25,1025.07,3345,1520,47.0,292.0
2025-02-11 09:43:28,17.22,73.25,1025.1,3328,1504,47.0,292.0
2025-02-11 09:43:30,17.23,73.26,1025.11,3329,1473,47.0,292.0
2025-02-11 09:43:32,17.24,73.3,1025.12,3329,1489,47.0,292.0
2025-02-11 09:43:34,17.25,73.31,1025.12,3329,1520,47.0,292.0
2025-02-11 09:43:36,17.25,73.3,1025.11,3345,1552,47.0,292.0
2025-02-11 09:43:38,17.25,73.29,1025.13,3345,1520,47.0,291.0
2025-02-11 09:43:40,17.26,73.31,1025.11,3344,1489,47.0,292.0
2025-02-11 09:43:42,17.27,73.33,1025.1,3328,1473,47.0,292.0
2025-02-11 09:43:44,17.27,73.33,1025.11,3344,1504,47.0,292.0
2025-02-11 09:43:46,17.27,73.3,1025.15,3345,1553,47.0,292.0
2025-02-11 09:43:48,17.27,73.29,1025.1,3345,1553,47.0,292.0
2025-02-11 09:43:50,17.28,73.29,1025.18,3329,1521,47.0,292.0
2025-02-11 09:43:52,17.29,73.3,1025.13,3280,1488,47.0,292.0
2025-02-11 09:43:54,17.3,73.32,1025.13,3328,1488,47.0,292.0
2025-02-11 09:43:56,17.3,73.3,1025.13,3344,1537,47.0,292.0
2025-02-11 09:43:58,17.3,73.3,1025.14,3345,1553,47.0,292.0
2025-02-11 09:44:00,17.3,73.29,1025.1,3344,1536,47.0,292.0
2025-02-11 09:44:02,17.31,73.29,1025.13,3344,1488,47.0,294.0
2025-02-11 09:44:04,17.32,73.29,1025.14,3344,1473,47.0,292.0
2025-02-11 09:44:06,17.31,73.28,1025.12,3361,1521,47.0,292.0
2025-02-11 09:44:08,17.31,73.28,1025.09,3344,1553,47.0,292.0
2025-02-11 09:44:10,17.32,73.31,1025.1,3344,1520,47.0,292.0
2025-02-11 09:44:12,17.31,73.31,1025.12,3344,1473,47.0,292.0
2025-02-11 09:44:14,17.32,73.3,1025.13,3344,1488,47.0,292.0
2025-02-11 09:44:16,17.32,73.3,1025.13,3328,1521,47.0,292.0
2025-02-11 09:44:18,17.32,73.29,1025.12,3328,1537,47.0,292.0
2025-02-11 09:44:20,17.34,73.35,1025.15,3344,1504,47.0,292.0
2025-02-11 09:44:22,17.33,73.35,1025.13,3345,1473,47.0,292.0
2025-02-11 09:44:24,17.32,73.33,1025.13,3344,1569,47.0,292.0
2025-02-11 09:44:27,17.4,73.58,1025.16,3345,1505,47.0,292.0
2025-02-11 09:44:29,17.42,73.72,1025.14,3345,1489,47.0,292.0
2025-02-11 09:44:31,17.42,73.77,1025.14,3344,1552,47.0,292.0
2025-02-11 09:44:33,17.42,73.72,1025.16,3360,1505,47.0,292.0
2025-02-11 09:44:35,17.41,73.63,1025.16,3345,1488,47.0,292.0
2025-02-11 09:44:37,17.41,73.59,1025.13,3328,1521,47.0,292.0
2025-02-11 09:44:39,17.42,73.57,1025.17,3312,1553,47.0,292.0
2025-02-11 09:44:41,17.42,73.57,1025.16,3312,1505,47.0,292.0
2025-02-11 09:44:43,17.41,73.56,1025.14,3345,1489,47.0,291.0
2025-02-11 09:44:45,17.41,73.57,1025.15,3329,1553,47.0,292.0
2025-02-11 09:44:47,17.43,73.68,1025.14,3328,1520,47.0,292.0
2025-02-11 09:44:49,17.44,73.75,1025.14,3344,1489,47.0,292.0
2025-02-11 09:44:51,17.44,73.73,1025.14,3344,1552,47.0,292.0
2025-02-11 09:44:53,17.44,73.68,1025.14,3344,1488,47.0,292.0
2025-02-11 09:44:55,17.43,73.65,1025.12,3345,1553,47.0,292.0
2025-02-11 09:44:57,17.43,73.63,1025.16,3345,1520,47.0,292.0
2025-02-11 09:44:59,17.43,73.59,1025.15,3328,1521,47.0,292.0
2025-02-11 09:45:01,17.43,73.57,1025.18,3329,1552,47.0,292.0
2025-02-11 09:45:03,17.44,73.57,1025.16,3329,1489,47.0,292.0
2025-02-11 09:45:05,17.43,73.54,1025.16,3345,1569,47.0,292.0
2025-02-11 09:45:07,17.43,73.51,1025.16,3328,1505,47.0,292.0
2025-02-11 09:45:09,17.43,73.5,1025.16,3344,1521,47.0,292.0
2025-02-11 09:45:11,17.43,73.49,1025.13,3344,1553,47.0,292.0
2025-02-11 09:45:13,17.43,73.47,1025.13,3345,1488,47.0,292.0
2025-02-11 09:45:15,17.43,73.46,1025.17,3345,1569,47.0,292.0
2025-02-11 09:45:17,17.43,73.45,1025.15,3344,1536,47.0,292.0
2025-02-11 09:45:19,17.42,73.43,1025.16,3344,1504,47.0,292.0
2025-02-11 09:45:21,17.43,73.47,1025.13,3345,1569,47.0,292.0
2025-02-11 09:45:23,17.43,73.5,1025.15,3329,1521,47.0,292.0
2025-02-11 09:45:25,17.43,73.5,1025.16,3345,1520,47.0,292.0
2025-02-11 09:45:27,17.43,73.48,1025.1,3329,1569,47.0,292.0
2025-02-11 09:45:29,17.44,73.47,1025.19,3329,1505,47.0,292.0
2025-02-11 09:45:31,17.44,73.46,1025.15,3345,1536,47.0,292.0
2025-02-11 09:45:33,17.46,73.44,1025.16,3329,1408,47.0,292.0
2025-02-11 09:45:35,17.45,73.42,1025.12,3344,1505,47.0,293.0
2025-02-11 09:45:37,17.44,73.41,1025.11,3312,1553,47.0,292.0
2025-02-11 09:45:39,17.46,73.4,1025.14,3344,1537,47.0,292.0
2025-02-11 09:45:41,17.45,73.39,1025.15,3344,1489,47.0,292.0
2025-02-11 09:45:43,17.45,73.38,1025.14,3344,1568,47.0,292.0
2025-02-11 09:45:45,17.46,73.38,1025.16,3313,1520,47.0,292.0
2025-02-11 09:45:47,17.46,73.39,1025.12,3345,1504,47.0,292.0
2025-02-11 09:45:49,17.46,73.37,1025.16,3328,1568,47.0,292.0
2025-02-11 09:45:51,17.46,73.33,1025.17,3329,1521,47.0,292.0
2025-02-11 09:45:53,17.47,73.32,1025.14,3344,1504,47.0,292.0
2025-02-11 09:45:55,17.47,73.35,1025.14,3345,1568,47.0,292.0
2025-02-11 09:45:57,17.47,73.34,1025.17,3345,1521,47.0,292.0
2025-02-11 09:45:59,17.48,73.34,1025.14,3344,1504,47.0,292.0
2025-02-11 09:46:01,17.48,73.34,1025.15,3328,1569,47.0,292.0
2025-02-11 09:46:03,17.47,73.33,1025.13,3328,1585,47.0,292.0
2025-02-11 09:46:05,17.47,73.34,1025.16,3329,1505,47.0,292.0
2025-02-11 09:46:07,17.48,73.34,1025.18,3344,1536,47.0,292.0
2025-02-11 09:46:09,17.49,73.33,1025.15,3345,1552,47.0,292.0
2025-02-11 09:46:11,17.48,73.33,1025.13,3328,1520,47.0,292.0
2025-02-11 09:46:13,17.49,73.33,1025.16,3345,1489,47.0,292.0
2025-02-11 09:46:15,17.48,73.3,1025.14,3344,1585,47.0,292.0
2025-02-11 09:46:18,17.48,73.26,1025.15,3345,1440,47.0,292.0
2025-02-11 09:46:20,17.5,73.27,1025.17,3345,880,47.0,292.0
2025-02-11 09:46:22,17.5,73.27,1025.17,3329,960,47.0,292.0
2025-02-11 09:46:24,17.53,73.28,1025.16,3344,1296,47.0,292.0
2025-02-11 09:46:26,17.55,73.33,1025.16,3345,1489,47.0,292.0
2025-02-11 09:46:28,17.57,73.34,1025.15,3344,1424,47.0,292.0
2025-02-11 09:46:30,17.58,73.35,1025.16,3344,1425,47.0,292.0
2025-02-11 09:46:32,17.6,73.37,1025.16,3345,1473,47.0,292.0
2025-02-11 09:46:34,17.63,73.37,1025.17,3345,1441,47.0,292.0
2025-02-11 09:46:36,17.62,73.37,1025.14,3344,1408,47.0,292.0
2025-02-11 09:46:38,17.69,73.56,1025.15,3329,1457,47.0,292.0
2025-02-11 09:46:40,17.73,73.63,1025.15,3344,1504,47.0,292.0
2025-02-11 09:46:42,17.75,73.66,1025.13,3344,1472,47.0,292.0
2025-02-11 09:46:44,17.76,73.64,1025.15,3345,1441,47.0,292.0
2025-02-11 09:46:46,17.76,73.59,1025.13,3345,1489,47.0,292.0
2025-02-11 09:46:48,17.76,73.53,1025.16,3361,1505,47.0,292.0
2025-02-11 09:46:50,17.76,73.5,1025.12,3328,1473,47.0,292.0
2025-02-11 09:46:52,17.75,73.46,1025.16,3344,1425,47.0,292.0
2025-02-11 09:46:54,17.76,73.45,1025.14,3344,1393,47.0,292.0
2025-02-11 09:46:56,17.76,73.43,1025.16,3344,1424,47.0,292.0
2025-02-11 09:46:58,17.76,73.41,1025.16,3345,1488,47.0,292.0
2025-02-11 09:47:00,17.76,73.39,1025.15,3345,1472,47.0,292.0
2025-02-11 09:47:02,17.76,73.39,1025.17,3329,1441,47.0,292.0
2025-02-11 09:47:04,17.77,73.38,1025.16,3345,1393,47.0,292.0
2025-02-11 09:47:06,17.77,73.39,1025.17,3344,1392,47.0,292.0
2025-02-11 09:47:08,17.77,73.35,1025.16,3360,1424,47.0,292.0
2025-02-11 09:47:10,17.77,73.34,1025.16,3329,1457,47.0,292.0
2025-02-11 09:47:12,17.79,73.34,1025.15,3345,1473,47.0,292.0
2025-02-11 09:47:14,17.78,73.31,1025.17,3329,1441,47.0,292.0
2025-02-11 09:47:16,17.78,73.29,1025.19,3345,1408,47.0,292.0
2025-02-11 09:47:18,17.8,73.29,1025.16,3328,1408,47.0,292.0
2025-02-11 09:47:20,17.8,73.3,1025.13,3328,1280,47.0,292.0
2025-02-11 09:47:22,17.81,73.34,1025.14,3344,1185,47.0,292.0
2025-02-11 09:47:24,17.84,73.48,1025.15,3296,1168,47.0,292.0
2025-02-11 09:47:26,17.89,73.52,1025.17,3345,1440,47.0,292.0
2025-02-11 09:47:28,17.9,73.47,1025.15,3344,1472,47.0,292.0
2025-02-11 09:47:30,17.93,73.58,1025.16,3344,1536,47.0,292.0
2025-02-11 09:47:32,17.94,73.81,1025.17,3345,1473,47.0,292.0
2025-02-11 09:47:34,17.94,73.81,1025.17,3345,1456,47.0,292.0
2025-02-11 09:47:36,17.94,73.74,1025.17,3345,1520,47.0,292.0
2025-02-11 09:47:38,17.94,73.72,1025.15,3329,1520,47.0,292.0
2025-02-11 09:47:40,17.94,73.69,1025.16,3344,1472,47.0,292.0
2025-02-11 09:47:42,17.93,73.65,1025.16,3344,1473,47.0,292.0
2025-02-11 09:47:44,17.93,73.6,1025.17,3344,1568,47.0,292.0
2025-02-11 09:47:46,17.93,73.57,1025.17,3329,1425,47.0,292.0
2025-02-11 09:47:48,17.93,73.53,1025.18,3344,1313,47.0,292.0
2025-02-11 09:47:50,17.93,73.5,1025.16,3344,1456,47.0,292.0
2025-02-11 09:47:52,17.94,73.51,1025.15,3344,1409,47.0,292.0
2025-02-11 09:47:54,17.94,73.55,1025.16,3345,1425,47.0,292.0
2025-02-11 09:47:56,17.94,73.53,1025.15,3344,1440,47.0,292.0
2025-02-11 09:47:58,17.96,73.54,1025.14,3344,1488,47.0,292.0
2025-02-11 09:48:00,17.97,73.61,1025.16,3328,1456,47.0,292.0
2025-02-11 09:48:02,17.97,73.61,1025.14,3344,1424,47.0,292.0
2025-02-11 09:48:04,17.96,73.58,1025.18,3280,1489,47.0,292.0
2025-02-11 09:48:06,17.98,73.64,1025.16,3345,1504,47.0,292.0
2025-02-11 09:48:08,17.98,73.68,1025.18,3329,1440,47.0,292.0
2025-02-11 09:48:11,17.99,73.73,1025.15,3329,1441,47.0,292.0
2025-02-11 09:48:13,18.01,73.83,1025.16,3329,1456,47.0,292.0
2025-02-11 09:48:15,18.02,73.93,1025.18,3344,1441,47.0,292.0
2025-02-11 09:48:17,18.03,73.89,1025.14,3345,1408,47.0,292.0
2025-02-11 09:48:19,18.02,73.82,1025.18,3312,1457,47.0,292.0
2025-02-11 09:48:21,18.02,73.71,1025.13,3344,1456,47.0,292.0
2025-02-11 09:48:23,18.01,73.63,1025.15,3344,1424,47.0,292.0
2025-02-11 09:48:25,18.01,73.56,1025.17,3344,1376,47.0,292.0
2025-02-11 09:48:27,18.0,73.52,1025.15,3329,1441,47.0,292.0
2025-02-11 09:48:29,18.01,73.49,1025.15,3344,1456,47.0,292.0
2025-02-11 09:48:31,18.02,73.46,1025.12,3345,1393,47.0,292.0
2025-02-11 09:48:33,18.03,73.54,1025.17,3329,1392,47.0,292.0
2025-02-11 09:48:35,18.05,73.67,1025.17,3328,1456,47.0,292.0
2025-02-11 09:48:37,18.04,73.7,1025.14,3345,1456,47.0,292.0
2025-02-11 09:48:39,18.05,73.7,1025.16,3345,1409,47.0,292.0
2025-02-11 09:48:41,18.05,73.65,1025.18,3344,1409,47.0,292.0
2025-02-11 09:48:43,18.07,73.59,1025.17,3328,1473,47.0,292.0
2025-02-11 09:48:45,18.1,73.72,1025.13,3328,1472,47.0,292.0
2025-02-11 09:48:47,18.12,73.83,1025.16,3345,1457,47.0,291.0
2025-02-11 09:48:49,18.12,73.86,1025.17,3344,1440,47.0,292.0
2025-02-11 09:48:51,18.12,73.86,1025.15,3344,1472,47.0,292.0
2025-02-11 09:48:53,18.12,73.76,1025.13,3344,1520,47.0,292.0
2025-02-11 09:48:55,18.13,73.72,1025.11,3345,1473,47.0,292.0
2025-02-11 09:48:57,18.15,73.66,1025.15,3329,1441,47.0,292.0
2025-02-11 09:48:59,18.15,73.63,1025.15,3344,1472,47.0,292.0
2025-02-11 09:49:01,18.15,73.71,1025.15,3344,1505,47.0,292.0
2025-02-11 09:49:03,18.15,73.72,1025.18,3328,1473,47.0,292.0
2025-02-11 09:49:05,18.14,73.67,1025.15,3344,1313,47.0,292.0
2025-02-11 09:49:07,18.13,73.6,1025.13,3329,1360,47.0,292.0
2025-02-11 09:49:09,18.13,73.56,1025.12,3344,1393,47.0,292.0
2025-02-11 09:49:11,18.14,73.54,1025.17,3344,1360,47.0,292.0
2025-02-11 09:49:13,18.16,73.54,1025.16,3344,1328,47.0,292.0
2025-02-11 09:49:15,18.17,73.53,1025.15,3329,1425,47.0,292.0
2025-02-11 09:49:17,18.17,73.51,1025.13,3344,1553,47.0,292.0
2025-02-11 09:49:19,18.18,73.47,1025.18,3345,1585,47.0,292.0
2025-02-11 09:49:21,18.18,73.45,1025.16,3345,1553,47.0,292.0
2025-02-11 09:49:23,18.17,73.42,1025.16,3344,1521,47.0,292.0
2025-02-11 09:49:25,18.17,73.41,1025.17,3345,1520,47.0,292.0
2025-02-11 09:49:27,18.16,73.39,1025.15,3345,1568,47.0,292.0
2025-02-11 09:49:29,18.16,73.37,1025.15,3328,1424,47.0,292.0
2025-02-11 09:49:31,18.17,73.35,1025.15,3344,1505,47.0,292.0
2025-02-11 09:49:33,18.18,73.32,1025.14,3344,1473,47.0,292.0
2025-02-11 09:49:35,18.2,73.31,1025.16,3344,1457,47.0,292.0
2025-02-11 09:49:37,18.2,73.29,1025.16,3329,1649,47.0,292.0
2025-02-11 09:49:39,18.21,73.28,1025.11,3328,1681,47.0,292.0
2025-02-11 09:49:41,18.21,73.28,1025.13,3344,1681,47.0,292.0
2025-02-11 09:49:43,18.21,73.28,1025.13,3345,1665,47.0,292.0
2025-02-11 09:49:45,18.21,73.28,1025.13,3329,1648,47.0,292.0
2025-02-11 09:49:47,18.2,73.28,1025.13,3345,1649,47.0,292.0
2025-02-11 09:49:49,18.2,73.27,1025.15,3345,1697,47.0,292.0
2025-02-11 09:49:51,18.19,73.25,1025.14,3345,1760,47.0,294.0
2025-02-11 09:49:53,18.21,73.34,1025.14,3345,1745,47.0,292.0
2025-02-11 09:49:55,18.21,73.42,1025.15,3345,1745,47.0,292.0
2025-02-11 09:49:57,18.22,73.4,1025.12,3345,1713,47.0,292.0
2025-02-11 09:49:59,18.22,73.33,1025.16,3344,1713,47.0,292.0
2025-02-11 09:50:01,18.22,73.29,1025.17,3344,1728,47.0,292.0
2025-02-11 09:50:04,18.23,73.28,1025.15,3328,1296,47.0,292.0
2025-02-11 09:50:06,18.25,73.35,1025.16,3345,1393,47.0,292.0
2025-02-11 09:50:08,18.32,73.49,1025.2,3345,1377,47.0,292.0
2025-02-11 09:50:10,18.35,73.69,1025.19,3344,1392,47.0,292.0
2025-02-11 09:50:12,18.38,73.84,1025.17,3344,1376,47.0,292.0
2025-02-11 09:50:14,18.37,73.88,1025.18,3328,1408,47.0,292.0
2025-02-11 09:50:16,18.38,73.82,1025.2,3345,1457,47.0,292.0
2025-02-11 09:50:18,18.37,73.67,1025.2,3329,1488,47.0,292.0
2025-02-11 09:50:20,18.37,73.57,1025.19,3344,1457,47.0,292.0
2025-02-11 09:50:22,18.38,73.52,1025.16,3344,1425,47.0,292.0
2025-02-11 09:50:24,18.39,73.56,1025.15,3344,1296,47.0,292.0
2025-02-11 09:50:26,18.38,73.59,1025.17,3344,1441,47.0,292.0
2025-02-11 09:50:28,18.4,73.55,1025.15,3360,1473,47.0,292.0
2025-02-11 09:50:30,18.42,73.54,1025.16,3345,1472,47.0,292.0
2025-02-11 09:50:32,18.42,73.44,1025.18,3344,1312,47.0,292.0
2025-02-11 09:50:34,18.43,73.36,1025.18,3344,1264,47.0,292.0
2025-02-11 09:50:36,18.43,73.29,1025.18,3329,864,47.0,292.0
2025-02-11 09:50:38,18.43,73.31,1025.16,3329,1441,47.0,292.0
